municipality_code,appartement_avg_price_m2,appartement_med_size_m2,avg_net_salary,avg_price_m2,establishments_importance,house_avg_price_m2,house_med_size_m2,med_size_m2,n_appartement,n_house,n_sales,nb_second_home,nb_tot_housing,nb_vacants_housing,population,population_growth,total_amount,total_amount_appartement,total_amount_house,city_name_normalized,department_name,latitude,longitude
44109,3967.3385081408555,55.005500550055004,29390.989955471141,4157.4512249443205,3.4519512416710674,4848.5560908465241,95.002992220227412,63.001852995676344,5282.0,1453.0,6735.0,7886,181975,10358,318808.0,1.4866077965734803,1907597974.82,1176179399.76,731418575.06,Nantes,Loire-Atlantique,47.2316356767,-1.54831008605
86194,2501.0158862876256,46.987951807228917,23921.676392807094,2380.0777719390435,1.7610108715652917,2175.4922206506367,89.980544747081709,63.991323210412148,1196.0,707.0,1903.0,1703,55652,4582,89212.0,0.61692888964077763,295739760.24,143705908.02,152033852.22,Poitiers,Vienne,46.5839207726,0.359947653003
83126,3336.4970364098222,54.002842254855516,24118.322143201291,3636.4036755386564,0.63548813447024877,4528.56926952141,90.006207324643086,62.00533087178556,1181.0,397.0,1578.0,3676,36357,3365,62987.0,0.15742271975576205,373052507.88,204076999.88,168975508.0,Seyne Sur Mer,Var,43.0880294967,5.87089841754
94076,5520.7714285714283,50.0,28823.990708521556,5784.5066162570893,0.18013774671977256,6800.7339449541287,69.998237264234092,54.996271439224458,420.0,109.0,529.0,688,26596,1662,55208.0,0.44392693399315508,166158209.18,112330854.18,53827355.0,Villejuif,Val-De-Marne,48.7928547268,2.36006103249
92004,7196.5203588681852,53.000923361034161,40607.098580138088,7376.5940279542565,0.31103986162519243,9464.008,105.00215610176801,56.000696822894014,1449.0,125.0,1574.0,1263,43480,4287,87143.0,1.3927349731226668,705500738.51,578687116.51,126813622.0,Asnieres Sur Seine,Hauts-De-Seine,48.9153530123,2.2880384663
95127,3382.5754437869823,56.004246937573434,26979.512277291382,3334.1391200951248,0.55912357963513382,3135.6969696969695,104.01298318087932,63.004846526655896,676.0,165.0,841.0,829,29648,2286,65911.0,-0.61970386900274121,172515863.52,117082099.64,55433763.88,Cergy,Val-D'oise,49.0401131567,2.05082123731
93070,7077.40594059406,46.001415428167022,29525.044527078833,7178.2110939907552,0.43056993631396445,8598.8604651162786,72.0,48.003657421517829,606.0,43.0,649.0,677,26566,2661,50697.0,0.053285968028427,244749387.78,217244330.78,27505057.0,Saint Ouen Sur Seine,Seine-Saint-Denis,48.909806575,2.33257042205
06004,4986.8897459165155,54.998949612361642,30073.773079994829,5333.04775059195,3.7051691954835024,7644.9636363636364,112.50040875523423,59.99653242578519,2204.0,330.0,2534.0,22826,63013,3237,73438.0,0.71727353768085145,952796046.2,624762384.2,328033662.0,Antibes,Alpes-Maritimes,43.587465146,7.10635418256
2A004,3762.5437100213221,68.002624826122968,25505.753746040566,3833.5316582914575,1.3793186059649811,5001.7192982456145,104.01721664275466,70.003070310101322,938.0,57.0,995.0,3371,34587,1141,71361.0,0.76817713260939335,272499219.29,234417381.09,38081838.2,Ajaccio,Corse-Du-Sud,41.9347926638,8.70132275974
72181,1815.1344393592678,55.985962277082407,26381.032305300578,1971.1730178242165,2.2972175681562077,2152.2855245683932,86.019133808595512,68.993506493506487,1748.0,1506.0,3254.0,2333,82644,8328,143847.0,0.41535196716275813,485781095.87,175970272.16,309810823.71,Mans,Sarthe,47.9885256718,0.200030493539
14118,2910.5925394548062,52.005288673424417,25395.455980911738,2987.7887667887667,1.9019194028957755,3428.8196721311474,98.49571427066212,59.9923576614444,2091.0,366.0,2457.0,2243,66714,5975,106230.0,0.68049131852301326,452540108.39,321842889.64,130697218.75,Caen,Calvados,49.1847936737,-0.369801713036
10387,1923.1112804878048,55.984555984555982,23085.446665225849,1975.9061913696059,1.2410285207205234,2217.254355400697,84.033613445378151,59.006211180124225,1312.0,287.0,1599.0,1534,38139,3647,61957.0,-0.062907284340929515,199071251.3,141332543.3,57738708.0,Troyes,Aube,48.2967099637,4.07827967525
64102,4153.01114922813,59.992590146583069,24342.245694591547,4259.4747474747473,1.1754768645662839,5285.3966942148763,109.99803574936162,61.995817149686289,1166.0,121.0,1287.0,1359,31000,1985,51894.0,0.93948765828324454,365940005.73,287539057.48,78400948.25,Bayonne,Pyrénées-Atlantiques,43.4922254016,-1.46607674358
29019,2085.7466478475653,63.001145475372283,24545.240985841032,2145.8157674028516,2.223597275463939,2374.9353970390312,92.99363057324841,67.986030267753208,2834.0,743.0,3577.0,2904,83573,5689,139926.0,0.23208836549619694,529557319.21,359665873.96,169891445.25,Brest,Finistère,48.4004997828,-4.5027907853
21231,2664.4740259740261,53.992725496408958,26111.473894882383,2762.0985234899331,1.9074893169189238,3405.1079429735232,88.002346729246113,57.996485061511422,3234.0,491.0,3725.0,3087,95209,7142,158002.0,0.73189080291227171,638731363.92,472415673.77,166315690.15,Dijon,Côte-D'or,47.3229437965,5.03788805877
94046,6081.5324283559576,52.001840773124712,34688.774888485554,6365.4760736196322,0.16241833679219569,7603.9934210526317,89.998607260407169,57.996485061511422,663.0,152.0,815.0,744,28376,1839,56483.0,1.0447414086119711,318698527.67,213644099.67,105054428.0,Maisons Alfort,Val-De-Marne,48.8063923267,2.43818248906
37261,2938.4352876106195,55.986119240429424,26029.276439447553,3121.9982964224873,3.0618903120610748,3736.5944444444444,85.997921612397846,63.010069259134,1808.0,540.0,2348.0,2940,86688,8775,137087.0,0.45726680492148564,490763028.77,290867682.15,199895346.62,Tours,Indre-Et-Loire,47.3986382281,0.696526376417
59183,2156.2703533026115,61.005770816158282,25846.189010577033,2014.275911365261,1.0410454814027954,1890.6951871657755,92.491524160038665,79.941860465116278,651.0,748.0,1399.0,1489,46303,3461,86279.0,-0.67461002705346829,227190160.83,86048200.5,141141960.33,Dunkerque,Nord,51.0307229078,2.33752414095
49099,2054.479518072289,56.022408963585434,25287.682709147593,2137.7853403141362,0.77001813878670922,2185.079343365253,94.983277591973248,79.010113937123549,415.0,731.0,1146.0,459,27463,1461,54037.0,-0.27497877680581206,212255926.83,48064837.78,164191089.05,Cholet,Maine-Et-Loire,47.0454402992,-0.877886189605
94068,6137.157370517928,54.99893027102506,42436.82900701608,6907.2841634738188,0.3043253168693853,8283.0978647686825,104.997476022211,66.004032206599973,1004.0,562.0,1566.0,649,37394,2698,74976.0,-0.42763420011155961,828119723.6,338319705.62,489800017.98,Saint Maur Des Fosses,Val-De-Marne,48.7990677797,2.49386450452
92024,7879.0131108462456,40.0,32669.393611245487,7930.8464243845256,0.4625204049740011,11037.142857142857,80.0,40.998685939553219,839.0,14.0,853.0,945,31534,2084,63089.0,0.96663199167801306,309311536.69,295478748.69,13832788.0,Clichy,Hauts-De-Seine,48.9035359139,2.30575230452
74010,4951.1658735554047,65.01095690284879,28080.918965292651,5062.30225472273,2.2018950203467935,6023.9588235294113,110.00436348603661,67.994269340974213,1471.0,170.0,1641.0,4232,70905,4455,130721.0,1.9672540347428713,594509302.57,469100374.61,125408927.96,Annecy,Haute-Savoie,45.8906432566,6.12551773598
80021,2682.6901287553646,52.011095700416092,25261.487039597352,2524.7211538461538,1.3040890331611688,2360.8441674087267,79.008016032064134,66.007482629609839,1165.0,1123.0,2288.0,1749,74398,6698,134706.0,0.60870409512214785,388659298.98,158242925.22,230416373.76,Amiens,Somme,49.9009532186,2.29007445539
56121,2471.7355821545157,60.999606454151909,24255.415741053774,2551.8673469387754,0.8673675468271056,2759.3070422535211,92.997811816192566,68.007900753460845,919.0,355.0,1274.0,1171,36140,3024,57246.0,0.28379230607524786,230205906.84,132553853.58,97652053.26,Lorient,Morbihan,47.7500486947,-3.37823200917
13004,3105.329411764706,56.490028490028493,24781.515189860158,3304.7469512195121,2.3657380180235146,3410.0295031055903,88.0065176902483,76.493736389324482,340.0,644.0,984.0,1010,27883,2884,50454.0,-1.1306852697380076,277261359.69,57004939.8,220256419.89,Arles,Bouches-Du-Rhône,43.5468692378,4.66215642574
92025,5622.6939704209326,52.0,37089.995013765511,6488.9279423538828,0.29242798315995033,8546.81891891892,93.498712553285173,60.003428767358137,879.0,370.0,1249.0,734,38081,2359,86534.0,0.56012643517873162,556309284.6,257553878.8,298755405.8,Colombes,Hauts-De-Seine,48.9225179147,2.24675160629
92012,9682.4288617886177,52.997993796571592,51972.867595460077,9768.2153846153851,1.3934218583380005,13360.297872340425,159.99607612320972,53.002400548696848,1968.0,47.0,2015.0,3752,67340,4293,121583.0,0.20521865264475636,1210839744.24,1116215929.24,94623815.0,Boulogne Billancourt,Hauts-De-Seine,48.8365843138,2.23913599058
92026,7545.9692044482463,53.000189286390309,45079.670670286432,7622.8703241895264,0.8454582578846328,10266.911764705883,102.49788512173703,53.999548838258512,1169.0,34.0,1203.0,4865,48076,4058,81558.0,-0.77860775201342713,529901834.75,495459095.75,34442739.0,Courbevoie,Hauts-De-Seine,48.8984504771,2.25570587289
87085,1813.1294307196563,57.995854288463946,24318.002728066138,1870.0363366703746,0.88182319699514977,1996.9353293413174,90.0,66.0180681028492,1862.0,835.0,2697.0,2331,82321,7179,130876.0,-0.4586283741129793,366120829.0,198069974.67,168050854.33,Limoges,Haute-Vienne,45.8542549589,1.2487579024
84007,2508.7354458364039,56.018518518518519,23640.74266103204,2567.7805393971444,3.8654693591358233,2717.825842696629,86.49723398030369,64.987298899237928,1357.0,534.0,1891.0,2142,53970,8284,91143.0,-0.63883831721701645,323562099.09,188881304.11,134680794.98,Avignon,Vaucluse,43.9352448339,4.84071572505
18033,1647.6917808219177,55.01397904630187,25493.272459593667,1696.8817046289494,0.864666141349137,1753.7892234548335,89.993544222078754,71.0135571336346,730.0,631.0,1361.0,946,38803,5328,64541.0,-0.19638770334632349,180220899.82,72051765.6,108169134.22,Bourges,Cher,47.0749572013,2.40417137557
11262,2246.797592997812,50.0,23399.278860978382,2391.8274914089347,1.4967773659424548,2636.8502772643255,89.0041928721174,62.000939408172854,914.0,541.0,1455.0,6101,37636,3409,55516.0,0.25462753950338257,237987965.06,106000729.81,131987235.25,Narbonne,Aude,43.1652399898,3.02023868739
83069,4181.4210076857389,53.992740471869325,25311.151949368006,4454.8075178224235,2.75139896308034,5315.3870967741932,108.99661604141995,63.002680965147455,1171.0,372.0,1543.0,10182,39673,2724,54821.0,-0.45034411374820227,486373940.07,261596016.07,224777924.0,Hyeres,Var,43.1018713534,6.18898508469
49007,3231.3874367622261,58.001157317292382,25706.00260684856,3278.9538804071249,1.2781836844263359,3425.1036269430051,93.997308430264013,65.999089667728725,2372.0,772.0,3144.0,2388,89937,5899,155850.0,0.8685634400807718,703003154.0,426823188.26,276179965.74,Angers,Maine-Et-Loire,47.476837416,-0.556125995444
92002,5566.3421550094517,63.0012936610608,42767.952706352327,6039.2248803827752,0.23124102018461828,6854.0618892508146,105.0,71.0051532610074,529.0,307.0,836.0,485,29393,1688,62760.0,-0.1559069649050282,393276053.7,179494948.7,213781105.0,Antony,Hauts-De-Seine,48.7503412602,2.2993268102
