municipality_code,population,population_growth,avg_net_salary,nb_second_home,vacants_housing_rate,nb_tot_housing,nb_vacants_housing,rental_max_all,rental_min_all,rental_med_all,rental_max_house,rental_min_house,rental_med_house,rental_max_apartment,rental_min_apartment,establishments_importance,sites_importance,n_sales,total_amount,avg_price_m2,med_size_m2,n_house,total_amount_house,house_avg_price_m2,house_med_size_m2,n_appartement,total_amount_appartement,appartement_avg_price_m2,appartement_med_size_m2
50129,78549.0,-0.7517941979177212,26904.37078791062,1567,0.07233737392430832,43228,3127,15.32,7.61,10.86,16.09,8.33,11.54,14.46,6.84,1.3933414060368718,1.29429678825787,990.0,174355204.4,2279.8747474747474,75.01967187283947,616.0,125124590.28,2205.9724025974024,89.00401102783832,374.0,49230614.12,2401.596256684492,52.99885210506703
51454,181194.0,-0.5581441296079848,26051.66285536469,2796,0.08834786612564391,104247,9210,19.81,7.87,11.61,14.96,6.76,10.32,21.07,8.16,2.176735890256517,3.913424341693101,2889.0,562944056.27,2748.3527172031845,67.00416914830257,662.0,198900571.8,2911.3066465256798,91.99574610492364,2227.0,364043484.47,2699.9128872923216,60.0
54395,105058.0,0.16494255613290765,27551.14907069543,2962,0.11288752755274382,69866,7887,21.22,8.79,12.56,18.12,9.66,12.58,21.58,8.69,1.6697550268815005,4.820542603434261,2596.0,445712539.48,2519.245377503852,62.010443864229764,259.0,90694319.8,2946.992277992278,103.01109350237718,2337.0,355018219.68,2471.839965768079,58.005319148936174
56121,57246.0,0.28379230607524786,24255.415741053774,1171,0.08367459878251245,36140,3024,21.02,8.62,12.58,16.36,7.89,12.61,22.64,8.87,0.8673675468271056,0.45618941136587776,1274.0,230205906.84,2551.8673469387754,68.00790075346085,355.0,97652053.26,2759.307042253521,92.99781181619257,919.0,132553853.58,2471.7355821545157,60.99960645415191
56260,53719.0,0.5258430330476349,26736.371895571523,2351,0.08726428949068908,34046,2971,19.83,8.89,12.63,19.84,9.74,14.19,19.81,8.51,1.3368640590422958,0.4196917103346758,1181.0,334540940.56,3756.5114309906858,64.00259909031838,370.0,183186714.2,4133.483783783784,111.50222892911957,811.0,151354226.36,3584.5265104808877,50.0
59009,61957.0,-1.2275415690213176,29169.76220436224,554,0.0433735780584828,28658,1243,19.09,10.07,13.13,15.26,9.82,11.93,22.31,10.28,0.645743093727629,1.426258470805213,932.0,247327277.1,3641.793991416309,74.9963524948935,487.0,182505662.6,3398.2792607802876,99.00990099009901,445.0,64821614.5,3908.2921348314608,34.00435255712731
59183,86279.0,-0.6746100270534683,25846.189010577033,1489,0.07474677666673865,46303,3461,16.57,7.53,10.66,14.58,7.63,10.27,18.07,7.46,1.0410454814027954,1.5762151285874293,1399.0,227190160.83,2014.275911365261,79.94186046511628,748.0,141141960.33,1890.6951871657755,92.49152416003867,651.0,86048200.5,2156.2703533026115,61.00577081615828
59350,234475.0,0.5907386592763464,27877.807347725968,4514,0.09097273849307456,138547,12604,20.95,10.3,14.36,13.11,8.02,11.08,23.17,10.94,3.73312892606,4.68413907562279,4957.0,1131644981.36,3891.938874319145,56.005719733079125,1176.0,336633710.23,3034.0119047619046,85.0018746103857,3781.0,795011271.13,4158.778894472362,48.00514800514801
59512,98828.0,0.7533974247876829,22711.46625362469,252,0.10820546070167857,41643,4506,19.26,8.58,11.8,15.12,8.59,10.79,22.81,8.56,0.14378503859183217,0.6419903922197843,1365.0,211539003.1,1966.7809523809524,77.9989241527703,823.0,135610247.17,1609.6901579586877,89.97429305912597,542.0,75928755.93,2509.0055350553507,58.00472141430377
59599,98656.0,1.2458693376572683,23436.707864309195,190,0.09124415470733224,43411,3961,19.14,8.68,11.86,16.52,8.72,11.3,22.68,8.62,0.24959256673318841,0.6666385222927612,1776.0,276924238.06,1943.7550675675675,78.01284247240412,1104.0,186195867.36,1887.9338768115942,82.98847865913108,672.0,90728370.7,2035.4613095238096,65.49785525933257
